"","Comentario"
"517","Considerar que el pantalón es elasticado y grande. Soy talla 36 y compre 34 y me quedaron bien (sueltos un poco) compre el azul que es muy lindo el jeans y compre el negro y es horrible en el sentido que se pegan las pelusas y se ve feo. Recomiendo comprar su misma talla o un talla menos."
"518","Me compre un talla menos ... le quedaron súper ... son súper cómodos ... no son elasticados ... llegaron en la fecha indicada ... contenta con mi compra !!
<U+2714> Sí, recomiendo este producto."
"519","los compré por mom y como ahora los probadores están cerrados, me los probé en casa y no tienen nada de mom, me quedaron igual que los skinny (pitillos) ): la tela estaba buena calidad si
<U+2714> Sí, recomiendo este producto."
"520","Me queda perfecto soy talla 38 y compré mi talla, PEROO se le pegan todas las pelusas al negro, no lo recomiendo :("
"521","No es mom el jeans y tienen que comprar 1 talla menos"
"522","Es tal cual lo espaba, ls calidad es buenísima, resistente de mezclilla gruesa. Soy talla 38 y compré 38 y quedo más que perfecto. Ajustado de cintura y cadera, pero un poco holgado de la pantorrilla, aunque igual apitillado, es muy cómodo y queda genial para usarlo con camisas o poleras dentro y fuera del pantalón. Recomendado al 100%!!!
<U+2714> Sí, recomiendo este producto."
"523","Soy talla 36/38, como no había talla 36 compre la 38 y me quedó bien, como a la modelo de la foto realmente. Es el mismo color azul, grueso pero liviano, elasticado y buen calce. Recomiendo escoger la misma talla que eres. Además que una vez que te lo pones, empieza a dar.
<U+2714> Sí, recomiendo este producto."
"524","Hay que pedir una talla menos ya que son grandes. Yo soy 38/40 y pedí 38. Me quedaron bien y sueltos como un Mom jeans. La tela es elasticada no rígida. Me gustaron, pero hay que acostumbrarse al estilo.
<U+2714> Sí, recomiendo este producto."
"525","El color del jeans es muy lindo, cómodo y elasticado! Feliz con la compra
<U+2714> Sí, recomiendo este producto."
"526","Son lindos , cómodos y de color muy clarito , me compre talla 38
Recomiendo
<U+2714> Sí, recomiendo este producto."
"527","Muy lindo, igual que en la foto pero es muy grande, sugiero comprar una talla menos que la habitual
<U+2714> Sí, recomiendo este producto."
"528","Ideal para llévalos puestos para viajes largos y versátiles para toda ocasión.
Me acabo de comprar el segundo, eso si, la talla es amplia por lo que es mejor comprar una menos.
<U+2714> Sí, recomiendo este producto."
"529","El pantalón azul es bellisimo y cómodo, lo recomiendo 100%. La talla es la que corresponde:
<U+2714> Sí, recomiendo este producto."
"530","Compré el de color blanco, la tela es gruesa, no se trasluce. Compré mi talla de siempre y queda con buen calce.
<U+2714> Sí, recomiendo este producto."
"531","Son elasticados, son mom y son baratos. Soy 42 y me compré la 40. Los tengo en en azul y negro
<U+2714> Sí, recomiendo este producto."
"532","Soy talla 44 y me compré la misma talla en negro, me quedaron bastante bien y son elasticados, recomiendo que se compren la talla que son ya que el pantalón realmente da a no ser que sean de piernas muy gorditas ahí si seria bueno una talla más para que de él efecto Mom, de lo contrario queda como cualquier otro pantalón.
<U+2714> Sí, recomiendo este producto."
"533","Es hermoso!!
Me compré el negro talla 38, es elasticado y queda perfect
Me quedo tipo mom jeans
Lo único que se le pega todas las pelusas. Pero es grueso y cómodo
<U+2714> Sí, recomiendo este producto."
"534","Muy comodo, lindo y queda hermoso
<U+2714> Sí, recomiendo este producto."
"535","Tela elasticada, no rigida como el mom clasico, por lo que es super comodo y asi no luces como un viejo mamarracho.
<U+2714> Sí, recomiendo este producto."
"536","Soy talla 36|38 y compre 38 me quedo grande pero se veía bien, lo use 4 hrs y ahora me queda enorme suelto de todos lados... El lindo el pantalón pero creo que una talla o dos menos seria mejor pensando en que se agranda con el uso"
"537","Malisimo, grueso. Y se le pegan todas las pelusas. Malo. Malo"
"538","Se le pega todoooooo, horrible la tela, a pesar de leer los comentarios y comprar una talla más igual no queda estilo mom! No lo recomiendo"
"539","Ideal comprar misma talla ya que el modelo es grande y te queda anchito, la tela es jeans muy gruesa y el color no es tan blanco."
"540","Es muy cómodo, Soy talla 36, guiandome por los comentarios me compré una talla más (38) me queda holgado pero es elásticado y se nota que estirará por lo que sugeriría comprar la talla habitual.
La altura es hasta el ombligo.
Volveré a comprar cuando haya stock
<U+2714> Sí, recomiendo este producto."
"541","La tela es elasticada, así que podría pedirse una talla menos, yo me pedí una talla 38 y quedó bastante holgado, aunque los mom lo son, así que fue buena compra."
"542","Es muy cómodo, pedí mi talla habitual 44 y me quedó bien, aunque se nota que con los lavados irá estirando, lo cual es genial porque de las piernas me queda un tanto justo. Pero es bello! Y el despacho muy rápido, pedí un jueves y me llegó hoy martes
<U+2714> Sí, recomiendo este producto."
"543","generamente soy talla 38 y por los comentarios les que había que comprarse una talla mas para lograr el efecto mom jeans, y con toda razón!! me compré talla 40 y me quedaron un poco grandes en la cintura pero los ajusté con un tutorial de Pinterest y me quedaron perfectos, los amé!! tengo los azules, son elasticados y el color igual a la foto ( el negro es de tela mas dura y atrapa pelusas)
<U+2714> Sí, recomiendo este producto."
"544","Es un muy buen pantalón, elasticado así que comprar talla correcta, lo tengo en azul y negro el negro como buen pantalón negro se le pegan pelitos al instante. El negro me lo pedí en una talla más y me queda grande de cintura y ancho de piernas, el 36 quedó perfecto de cintura pero más apegado de piernas.
Así que dependerá de sus gustos.
<U+2714> Sí, recomiendo este producto."
"545","Son lindos, me encantaron pero son grandes, soy 38 y el 34 me quedó perfect. El negro es un poco pelusiento pero quedan bellos. Tiro alto y elasticados
<U+2714> Sí, recomiendo este producto."
"546","Me compre los pantalones negros en talla 40 y me quedaron perfecto y llegaron súper rápido
<U+2714> Sí, recomiendo este producto."
"547","Me encantó la tela, muy cómodos
<U+2714> Sí, recomiendo este producto."
"548","Compre una talla 38 que es la que soy y que quedó muy grande porque es muy elasticado, y del poto me queda una bolsa"
"549","Me encanto!!! Es muy bello y súper cómodo, compre el jeans de color azul y la tela es súper elástica!! Lo recomiendo
<U+2714> Sí, recomiendo este producto."
"550","La tela no es jeans pero es elasticada, me compré la talla regular que soy (que es 40) y no queda como un mom jeans, solo queda como un pantalón regular. Es bonito igual pero no es lo que esperaba aunque el precio está bien."
"551","No queda como mom jeans, se ve como un pitillo más y la tela es elásticada. yo normalmente soy talla 36/38 y la 38 me quedo un poco suelta de cintura."
"552","Hola! Compre en color negro talla 38 y me quedo un poco grande en la cintura ya que tengo caderas anchas y de arriba soy mas delgadita pero nada que con un cinturón no se pueda solucionar. No es tan mom pero me hace bonita figura. Mido 1,54 y no me quedaron tan largos de piernas, son super elasticados, ojala repongan en azul ya que me gustaron bastante
<U+2714> Sí, recomiendo este producto."
"553","Ame estos mom azules son maravillos!! Muy comodo y se ven fantásticos!
<U+2714> Sí, recomiendo este producto."
"554","Son muy lindos y cómodos, soy talla 38 a 40, dependiendo del modelo, y los 38 me quedaron perfectos. El tiro es alto, y estilizan muchísimo la figura. Compre uno de cada color, la tela es de buena calidad en los tres modelos. Lo recomiendo totalmente!
<U+2714> Sí, recomiendo este producto."
"555","es demasiado lindo, me encanta como se ve puesto compre el azul, normalmente soy talla 38 y el 36 me quedo super bien ni tan apretado, ni tan suelto, tiro alto sobre el ombligo,y elasticado, excelente compra
<U+2714> Sí, recomiendo este producto."
"556","Compre el azul en mi talla y cuando me lo probé me quedaron ajustados, los cambie por una talla mas para que me quedaran tipo ""mom jeans"" y aproveche de comprar en negro.
Los azules me quedaron bien pero no tipo ""mom jeans"" y el negro si quedaron tipo mom jeans pero mucho mas sueltos, osea es como una talla mas grande que el color azul
El color azul es de buena calidad en cambio el negro se le pegan las pelusas y los pelos y se nota"
"557","Leí comentarios de comprar una talla más grande, soy 38-40 y pedí 40, me quedaron muy grandes. Tuve que ir a la tienda a cambiar por una talla menos y quedaron perfectos
<U+2714> Sí, recomiendo este producto."
"558","Me acaban de llegar, compre talla 40 y me quedan perfectos, comodos, bellos! Eso si no son tan MOM JEANS!!!
<U+2714> Sí, recomiendo este producto."
"559","Yo soy 38-40 compre unos azules 40 porque lei que eran medios ajustados pero es solo de piernas porque me quedaron grandes de todos lados y de gluteos, son solo ajustados de piernas, tendre que ver cuando ir a cambiarlos ahora!
<U+2714> Sí, recomiendo este producto."
"560","No son tan mom jeans, yo compré talla 34 y me quedaron un poco justo en los muslos, normalmente soy 34/36 si quieren que les quede como mom jeans recomiendo comprar una talla más grande si es que no tienen las piernas flaquitas, son cómodos, pero es verdad que el negro se llena de pelusas"
"561","Me compre la talla que uso siempre 40 y me quedaron súper bien y quedan como mom jeans, mido 1.68 y no quedan cortos
<U+2714> Sí, recomiendo este producto."
"562","Excelente calce, pero la tela es horrible se llena de pelusas de inmediato."
"563","Son muy cómodos pero de largo son cortos, compre en color negro y se le pegan todas las pelusas que se puedan imaginar"
"564","Compré los azules, son preciosos y muy cómodos, pero para ser mom son más ajustados, compré mi talla normal y me quedaron bien, si hubiera comprado una talla menos me quedarían apretados
<U+2714> Sí, recomiendo este producto."
"565","Me encantaron, si bien no son mom son muy cómodos de tiro muy alto y muuuuy elástica dos, normalmente soy 46 pero pedí 48 y me quedaron grandes, ahora me pedí el negro en 46 para ver qué tal
<U+2714> Sí, recomiendo este producto."
"566","Compre el negro talla 34 y me quedo súper,, es tiro alto buena tela, feliz....."
"567","La tela de jeans muy buena calidad, son muy bonitos, me encantan!"
"568","ME ENCANTO, LA TELA ESPECTACULAR.
QUEDAN HERMOSOS.
<U+2714> Sí, recomiendo este producto."
"569","Compré el jeans azul en 36 porque había leído comentarios, pero de cintura es muy pequeño, asi que cambie el producto por la talla que utilizo que es T/38 y me quedo excelente, material de buena calidad, es elasticado y me quedó algo largo ya que no me gusta como queda el doblez , mido 1.63
<U+2714> Sí, recomiendo este producto."
"570","Compré el azul y el negro en una talla más de la que uso... me quedaron sueltos y me hacían bolsa en la parte de adelante. Los devolví, ya que no los encontré en la tienda. Ahora no hay talla en la página... así que a esperar para volver a comprarlos."
"571","Es demasiado elasticado para ser <U+0093>mom<U+0094>, lo tendré que cambiar, compre el celeste y es más claro de lo que se ve en las fotos. La tela es delgada. No me gustó nada del pantalón en verdad."
"572","La verdad son hermoso he sido talla 40 toda la vida, me pedi la 40 y me quedaron sueltos de cintura,no sé si recomendaría una talla menos pero igual ojo con eso, le tiende que hacer unas piezas
<U+2714> Sí, recomiendo este producto."
"573","Es un pantalón muy lindo compré el color azul claro y es talla normal buena calidad
<U+2714> Sí, recomiendo este producto."
"574","Es un lindo pantalón me guié por los comentarios y compré una talla más Gran error!! Me quedo grande!! Pero el pantalón es lindo y buena calidad, es súper elásticado! (Me compré el azul)
<U+2714> Sí, recomiendo este producto."
"575","Me encantó, lo pedí en talla 46 Negro es super elásticado, la talla es correcta, no son tallas pequeñas. No me parece un Mom Jeans, no se si es porque tengo muchas piernas y me queda justo. Quizás a alguien que le quede más holgado se le vea como un Mom Jeans. Pero es buena tela, grueso y elásticado. Lo quiero en azul. Lo Recomiendo 100%
<U+2714> Sí, recomiendo este producto."
"576","El modelo es Megan, no es mom, por lo
Menos no para mi que compré talla 40 y mido 1,59, pero queda súper cómodo, se ven los tobillos, me gustó mucho para haberlo comprado al ojo. Pedi mi talla de siempre.
<U+2714> Sí, recomiendo este producto."
"577","Son un poco grandes la verdad, pero se ven super lindos puesto, la tela es como elasticada(? Pero pedir un numero más si quieres que queden bien suelto de las piernas.
<U+2714> Sí, recomiendo este producto."
"578","Me compré el negro y lo amé. La talla calza perfecto (soy 40), y quiero el clarito pero no sé si son el mismo tallaje ya que he leido q de un color a otro cambia"
"579","Compré el azul en talla 34 y es súper bonito, lo único malo es que quedan un poco apretados para ser mom fit
<U+2714> Sí, recomiendo este producto."
"580","Compré mi talla de siempre 40 en celeste y negro, me quedaron perfectos , la tela es gruesa y son muy cómodos , ahora quiero comprar él blanco
<U+2714> Sí, recomiendo este producto."
"581","Compre el negro talla 40, el material es mas grueso que el resto, el material hace que las pelusas se adhieran con facilidad a el, se nota hasta lo mas minimo"
"582","Compre el azul y el negro, compré una talla más y los azules son estupendos como mom jeans, no así los negros que son mas gruesos y mas ajustados, ojo que siendo la misma talla obvio.
<U+2714> Sí, recomiendo este producto."
"583","Lo compre y es más bien es un shinny que mom"
"584","Generalmente soy 38-40, compre los 40 para que me quedarán más sueltos y aún así parecen pitillos (soy de pierna ancha). Para que me quedarán sueltos, debería haber comprado unos 42 o 44."
"585","Son lindos pero no quedan como moms, compré 34 mi talla habitual y me quedaron como jeans apretados y abajo sueltos pero se ve feo, no es lo que esperaba, tendré que hacerlos pitillo.
Si los quieren mom compren 1 talla más, les quedarán sueltos de cintura pero tendrán ese estilo"
"586","Me compre este mom en el tono azul y cuando leí los comentarios me preocupe porque comentaban que les quedaba grandes, que pidieran un talla más pequeña. Pero cuando me lo probe me quedo perfecto, pedí en talla 34, la talla que soy siempre. Son de buena calidad en relación al precio, los recomiendo.
<U+2714> Sí, recomiendo este producto."
"587","Sin bonitos pero se me echo a perder el cierre al primer uso :("
"588","El material es bueno, pero no es tan Mom como dice, sobre todo para quiénes tenemos piernas anchas. Me compré talla 46 aunque soy 44 por qué a veces esta marca me queda muy justa, esta vez me quedó un poco suelto pero en bastante bonito, quedé contenta con la compra.
<U+2714> Sí, recomiendo este producto."
"589","Es muy lindo el color , es super elásticado, me encanto , lo mejor es que es tiro alto
<U+2714> Sí, recomiendo este producto."
"590","Corresponde a la talla, se ajusta bien al cuerpo pero no es mom para nada yo compre los azules son de tiro alto super comodos y se ven de buena calidad, por el precio esta super bien, lo unico es que no es mom
<U+2714> Sí, recomiendo este producto."
"591","Si tienen menos cintura que trasero son ideales. Tiro super alto y muy comodos. Mido 1.75 y como es obvio me quedan cortos, pero lo sabia antes de comprarlos.
Es un jeans grueso pero elasticado perfecto
<U+2714> Sí, recomiendo este producto."
"592","El tiro es super alto, cómodo... Aunque no queda como mom, queda muy lindo igual
<U+2714> Sí, recomiendo este producto."
"593","Si quieren que de verdad el jeans se vea como un mom, pidan una talla mas, pero en mi caso pedí de mi talla y me quedaron perfectos, con calce al cuerpo, al final como un jeans normal pero con patas rectas
<U+2714> Sí, recomiendo este producto."
"594","Muy lindo jeans, me lo compré en azul en la talla que siempre ocupo (38) y me quedo perfecto.
Y el envío fue muy rápido, llegó en 3 días. Super contenta con mi compra.
<U+2714> Sí, recomiendo este producto."
"595","Me quedó perfecto, por lo general soy 38, asi que lo pedí en esa talla, es elasticado, pero nada del otro mundo, es muy cómodo. Ahora si quieres que te quede apretado apretado compra una talla menos, si quieres que te quede normal o un poco suelto, pide tu talla <U+2764><U+FE0F>"
"596","Son elasticados y muy cómodos, de buen calce, generalmente soy talla 38/40 de pantalón, compré uno 38 azules y quedaron perfectos! Fue muy buena compra, los recomiendo, me encantaron!
<U+2714> Sí, recomiendo este producto."
"597","Me guié x los comentarios soy talla 38 sybilla y compre 36 y quedaron perfectos, muy bonitos
<U+2714> Sí, recomiendo este producto."
"598","Me compré el azul talla 40 (mi talla regular en Sybilla) y me quedo súper! Recomiendo comprar una talla menos si son suuuper acinturadas, si no, la talla regular queda perfecta!
<U+2714> Sí, recomiendo este producto."
"599","La verdad es que son muy lindos y todo incluso hasta elásticados pero NO SON MOM como dicen quedan como unos pantalones normales (pitillos)"
"600","De cadera tengo 104 y cintura 67 y pedi talla 40 y me quedo súper bien, son de tela gruesa y quedan bonitos, son tiro alto!!
<U+2714> Sí, recomiendo este producto."
"601","Generalmente soy 36 en pantalón, por lo que el negro lo compré en esa talla, quedó ajustado arriba y en la parte de abajo de la pierna quedó suelto, y más arriba del tobillo con doblez. El azul decidí comprarlo en talla 38 y me quedó super, el calce es bonito y también es tiro alto, la tela es cómoda. Ambos son elasticados y no quedan como mom completamente. En lo personal prefiero una talla más a la que uso generalmente"
"602","Yo soy 38/40, me guié por los comentarios y compré el 40 y me quedo gigante. El pantalón es bonito, pero la talla no corresponde
<U+2714> Sí, recomiendo este producto."
"603","Es un jeans tiro alto, me guié por los comentarios y compre una talla menos y me quedaron ajustados de piernas, no son anchos. Es un jeans elasticado y grueso de tela. Aunque me quedaron más ajustados de lo que pensaba, no lo voy a cambiar porque queda muy bonito el calce"
"604","No son mom yo soy talla 40 y pedí 44 para que me quedaran grandes pero me quedaron muy justos no son mom"
"605","Generalmente compro en sybilla 38-40. Ahora compré 40 para que me quedaran más sueltos... y fue buena idea teniendo en consideración que tengo piernas más ""rellenitas"" tal vez si quieren más sueltos deben comprar una talla más (estilo mom) pero creo que son muy amplios de cintura entonces podrían quedar sueltos...
<U+2714> Sí, recomiendo este producto."
"606","Compre una talla menos y quedaron hermosos.
<U+2714> Sí, recomiendo este producto."
"607","Son súper cómodos, la parte de arriba se ajusta súper bien al cuerpo y marca la silueta, soy talla 42 y compre talla 40, me quedaron súper. (Compre negro y azul)
<U+2714> Sí, recomiendo este producto."
"608","Compré celeste y me gusto mucho. En cargue mi talla y quedó bien.
<U+2714> Sí, recomiendo este producto."
"609","Material suave y elásticado, usualmente soy talla 44-46, pero los 44 me quedaron perfectos"
"610","Compre el azul . No es un jean corte Mom. Es un jean pitillo. Son ajustados. El color no corresponde a la foto. deberían tomar fotos reales xq uno pierde tiempo en devolverlos etc."
"611","Seguí los comentarios anteriores y compré una talla menos, me quedaron perfectos, solo un poco mas apretados de cintura, la tela es elastica, pero el corte del pantalón es hermoso. Me encantó
<U+2714> Sí, recomiendo este producto."
"612","Soy talla 38 y la talla corresponde (un poquito suelta) aunque por el modelo mom jeans creo que está bien , la tela no es rígida y muy suave, me encantó
<U+2714> Sí, recomiendo este producto."
"613","Leí muchos comentarios para poder saber qué talla comprar. Estaba reacia a comprar una talla menos, a pesar de que muchas lo recomendaban, así que elegí la talla que suelo usar normalmente, 38, en el jeans azul y me quedó perfecto. Les aconsejo comprar la talla que usan habituamente. El jeans es tiro alto, tapa el ombligo y es sueltito abajo, el color de la tela es precioso.
<U+2714> Sí, recomiendo este producto."
"614","A pesar de que recomendaban comprar una talla menos, decidí comprar mi misma talla (40) y me quedó perfecto. No son muy anchos, quedan a la cintura sobre el ombligo (me quedó levemente amplio), la tela es elasticada, y no son muy holgados."
"615","Tela suave,elástica.Soy 38 compré la misma talla y quedó genial.Recomiendo comprar la misma talla!
<U+2714> Sí, recomiendo este producto."
"616","No es 'mom' porque es elásticado. Es tiro alto y el material de buena calidad(al menos el azul). Soy talla 38 y el 36 me quedo perfecto."
"617","Tela delgada elasticada y súper cómoda.
Habitualmente soy talla 44, pero leí que había que pedir una o dos tallas más y elegí talla 48 (la más grande de Sybilla), lo cual me quedó regio, súper cómodo. El modelo es súper simple, color igual a foto publicitaría, tiene bonito calce. Ahora si buscas modelo MoM no lo es, este es un jeans más buen clásico.
<U+2714> Sí, recomiendo este producto."
"618","Es un buen jeans pero no se ve totalmente como mom jeans.
Dejaré mis medidas por si a alguna le sirve. Estatura: 1.70, cadera: 95 cm y cintura 64 cms
Siempre soy 40 en sybilla y compré 40 esta vez. Leí en los comentarios que había que comprar una talla más pero por cintura no me hubiera quedado bien, si tienes cintura pequeña te recomiendo que compres por tu talla. Es tipo strench la tela por lo que es elástica y no tiene la caída recta típica del mom jeans. Es un lindo jeans que hace bonota figura, pero no es un mom jeans.
<U+2714> Sí, recomiendo este producto."
"619","soy preciosos y de buena calidad. Normalmente soy 38 pero la talla 36 me quedo maravilloso, son elasticados y en mi opinión si los quieren más holgados pedir su talla normal o 1 más.
<U+2714> Sí, recomiendo este producto."
"620","Recibí el negro y estoy esperando el claro.
Me guíe por los comentarios y compré talla 36 (normalmente soy 36/38)
Pensé que era un mom jeans real. Onda algodón y no elasticado. Pero no. Es una tela muy elasticada y que con el tiempo va cediendo.
Tengo un jeans sybilla de la misma tela y es súper incomodo. Lo mandé a tomar una vez y sin así siguió dando.
El calce es raro. Carteras un poco toscas que hacen ver la parte de atrás un poco caída .
Para el precio está ok pero prefiero los jeans basement. A esta altura no se si devolverlo o cambiarlo por un 34"
"621","Me compre talla 38 y me quedaron perfectos, súper buen calze y muy lindo el color superaron mis expectativas
<U+2714> Sí, recomiendo este producto."
"622","Pedir una talla mas grande si quiered que te quede como mom fit, sino parece solo un skinny jeans jajja"
"623","Es muy lindo el color celeste, pero es apretado me compré en 38 (mi talla) y JAMÁS fue Mom jeans, es un pantalón apretado a la cintura, como los típicos. Yo creo que ni comprándome dos tallas más cumpliría, ya que es elásticado.
<U+2714> Sí, recomiendo este producto."
"624","Me compre con desconfianza el azul talla 34, ya que a veces soy 34 o 36, hoy me llego y me quedó perfecto, hasta me quedó suelto, me encanto el calce y la forma
<U+2714> Sí, recomiendo este producto."
"625","Queda super bien, si eres de piernas más anchas pedir 1 talla más, yo normal soy 42 y elegí 44, queda super, tiro alto y suelto en los tobillos y la tela super elásticada.
<U+2714> Sí, recomiendo este producto."
"626","Soy talla 36/38 y elegí talla 36 por los comentarios que leí y fue la mejor opción.
Queda casi estilo pitillo, la tela es elasticada y cómoda y queda muy lindo puesto pero la verdad esperaba algo un poco más ancho y algo más largo... mido
1.61 y me quedo un poco más arriba de los tobillos.
<U+2714> Sí, recomiendo este producto."
"627","Compre el azul una talla más soy 40 pedí 42 y me quedo muy suelto de cintura pero a gustado en las pompas y piernas creo que no sirve para las chaparritas como yo no quedan como mom... Pero la tela es super rica y cómoda..
<U+2714> Sí, recomiendo este producto."
"628","Es súper lindo lo compre en azul y en mi talla de siempre y me quedo ajustado arriba y suelto abajo así que yo recomiendo que si quieren que les quede suelto estilo mom compren una o dos talla más a la suya normal :)
<U+2714> Sí, recomiendo este producto."
"629","Me guié por los comentarios sobre pedir una talla menos. Pero no fue favorable en mi caso. Me cierra justo y no lo encontré tiro alto.
El color es hermoso
<U+2714> Sí, recomiendo este producto."
"630","pedí el pantalon azul, soy talla 38 pero pedi una talla menos como lo recomendaron, me quedo justo por lo que si quieren que quede suelto como un mom pidan de su talla, llegan a la cintura y quedan super bellos
<U+2714> Sí, recomiendo este producto."
"631","No les tenia mucha fe pero me quedan muy lindos, pedi una talla menos y me quedo perfecto, debo admitir que son muy cómodos y el tiro es alto pero justo donde termina el ombligo y el color es solo un poquito mas oscuro que el de la foto
<U+2714> Sí, recomiendo este producto."
"632","Hola! En skiny soy talla 36. He leido que recomiendan comprar una talla menos para el 34, pero eso me tinca una talla muy pequeña!
Alguien que sea skiny 36 que me ayude diciendo si debo comorar 34 en mom? Graciss"
"633","En color azul para que me quede como mom comprar mi talla o una más
SÍ mi talla
NO una talla más"
"634","el jeans es muy lindo , normalmente soy talla 40 pero pedí 38 y queda como la modelo , ahora me pedí 36 para que me quedara estilo skinny, es elasticado y muy cómodo.
<U+2714> Sí, recomiendo este producto."
"635","Mido 1.58, tengo 100 de caderas y 75 de cintura, me compré la talla 36 en azul (generalmente soy 38) son de tiro alto y medianamente elasticados, me quedaron super bien de cintura, pero de muslos me quedaron ajustados, solo de pantorrillas me quedaron un poco sueltos.
Si quieres un pantalon suelto estilo mom y eres caderona, este pantalón no es para ti, pero si quieres un pantalón que no sea tan pitillo y queden medianamente sueltos, te los recomiendo, el calce es bonito y la tela no es ni gruesa ni delgada, a parte es probable que vaya dando con los usos.
<U+2714> Sí, recomiendo este producto."
"636","Ayuda!!! Me confunde si me compro el azul tiene que ser una talla me nos o mi talla normal, mido 1,62.
Si es una talla menos marque si
Nl si es mi talla
Se los agradecería"
"637","El celeste es tela rígida que no da o es elasticado?
Si es rígido pone si
Si es elásticado pone no
<U+2714> Sí, recomiendo este producto."
"638","Chicas recomiendo el azul, es muy lindo!!! Normalmente soy talla 40 pero pedí un 38 y me quedó perfecto. Viene con el dobles pero lo puedes bajar y queda un poco más largo! Me llegó antes de tiempo y el color es tal cual el de la foto, así que anímense ya que esta super lindo!!!
<U+2714> Sí, recomiendo este producto."
"639","Chicas compren el celeste es el mejor, negro y blanco se pegan pelusas, las tallas son normales solo tu talla te qdara algo olgada por el modelo, es super elastcado y tela mas bien suave, no tan delgada, no se transparenta, el dobles se puede bajar y qda más largo, pero en sí el modelo es lindo solo q debiera ser mejor calidad de la Teja del negro y blanco, si fuera así muy recomendado
<U+2714> Sí, recomiendo este producto."
"640","Quien me puede decir cuántos cms es la talla 40 o 38? Para ver si es mucha diferencia? Yo normalmente soy 40 pero no sé si serán muy grandes
<U+2714> Sí, recomiendo este producto."
"641","La tela es muy elasticada, los mom jeans son tiesos, estos se amoldan a la figura y las piernas quedan sueltas, resultando una forma diferente a los mom jeans. La cintura es muy grande."
"642","Me compré los negros , es de esas tela que atrapa pelusa y eso se ve horrible! no recomiendo esa compra."
"643","hola, me pueden responderson SI si son asi de cortos o NO si solo estan doblados y obvio se pueden desdoblar (tengo las piernas largas y los jeans cortos suelen quedarme aun mas cortos) :( gracias"
"644","Es muy elasticado pedí talla 38 y me queda muy grande de la cintura, además durante el día se agranda más pero es muy lindo. Comprar una talla menos.
<U+2714> Sí, recomiendo este producto."
"645","Compré el blanco y me quedó muy grande, pedí talla 40 porque es la que siempre uso, mido 1,67, pero me quedan demasiado anchos, se ven feos, además se le pegaron muchas motas y ni siquiera los he usado, solo me los probé. Compré pensando que se verían como en la foto y lo pensé harto, pero no lo recomiedo, mínimo una talla menos en mi caso. Ojalá les sirva uwu"
"646","Me compre el 38 en blanco y el 36 en negro, puedo usar ambos, pero me queda mucho más cómodo el 36, así que creo que es mejor comprar una talla menos. Soy muy lindos, de tiro super alto y no son apretados en las piernas.
<U+2714> Sí, recomiendo este producto."
"647","Soy talla 38 y me quedó grande, y está lleno de motas...todas las pelusas se pegan en el pantalón, tampoco me agradó el calce del jeans"
"648","Alguien puede decir si los de color blanco se transparenta???? Si no se transparenta puede poner SI, y si se transparenta NO"
"649","Compren una talla menos!!! Son súper tiro alto y muy cómodos.
<U+2714> Sí, recomiendo este producto."
"650","Me compré el negro en talla 36, me quedo grande y más encima me lo compré ayer y está horrible lleno de motas"
"651","Muy cómodo, soy talla 38 y compre la misma, es elástica do y a la cintura, no es muy ancho de piernas pero se ve muy lindo
<U+2714> Sí, recomiendo este producto."
"652","Son muy cómodos, soy talla 42 y le hice caso a los comentarios y compre una 40. Quedaron muy bien, lo único malo es que los negros se llenan de pelusas. Así que al final no quedé tan conforme con la compra. Les recomiendo comprar los otros colores"
"653","Demasiado cómodos, los comentarios anteriores sirven mucho de guía respecto a qué talla comprar así que porfa repongan en tono celeste para comprarlos
<U+2714> Sí, recomiendo este producto."
"654","Jeans de muy buena calidad, son gruesos y son strech. Lo único malo es que vienen muy grandes, así que si se los compran elijan una talla menos. Me acaban de llegar y pedí talla 40 siendo que mi talla de siempre es 42 y me quedaron bien. De la cintura me quedan un poco sueltos pero cómodos y de las piernas queda holgado al ser mom.
Buena compra. Los volvería a comprar pero de color azul. :)
<U+2714> Sí, recomiendo este producto."
"655","Es demasiado elásticado, pierde la forma hermosa mom. Es más bien cómo un straight.
El material no es tan Bueno, se llena de pelusas rápidamente."
"656","Porque ya no traen este modelo, me compre este pantalón hace 1 mes aproximadamente y he bajado de peso y me están quedando muy grandes porque me los compre una talla más de lo normal.... Ahora necesito una talla real para mi y ni en tienda o en online están..... Porfaaaaaaaaaaaaaaaa necesito massss son muy bknes
<U+2714> Sí, recomiendo este producto."
"657","Perfectos! Lo compre una talla menos y queda regio!
<U+2714> Sí, recomiendo este producto."
"658","Me guié por los comentarios y compré una talla menos (soy 38 y pedí 36), a pesar de haber leído que no quedan como mom jeans, ya que son muy elasticados, me encantaron! Son altos, muy cómodos y el color negro es precioso. Guíense por los comentarios, me han salvado de varias!
<U+2714> Sí, recomiendo este producto."
"659","Pensé que los jeans serían mom, soy talla 40 y pedí 44 para que me quedara uuuultra sueltos y cuando llegaron me di cuenta que son muy apretados, no aparece que su calce es mom strech, sin embargo lo bueno es que estaban baratisimos, se nota que son de buena calidad aún siendo elasticados, llegaron al otro día de la compra. No sé si recomendar los jeans como mom sino es un calce lindo pero esperaba que al ser talla 44, sean muy muy sueltos.
<U+2714> Sí, recomiendo este producto."
