"palabra","positivo","negativo","sentimiento"
"El estilo me encanta Supero mis expectativas el estilo es hermoso
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",1,0,1
"El frasco filtra el liquido mientras se licua. Lo saque y puse varias veces y siempre pasó lo mismo.",0,0,0
"El horno calienta muy bien, lo malo: venía con una parte rota de la puerta que al abrirla por 1ra vez se soltó la manilla, lo lleve a la tienda y lo cambiaron sin problemas!
<U+2714> Sí, recomiendo este producto.",3,6,0
"El horno de mis padres, funcionaba super bien, a los 6 meses fallaron las resistencia superiores. En cambio yo tengo un somela 8 años y funciona impecable usandolo casi todos lo dias.",9,3,1
"El horno eléctrico cumple a cabalidad, con las expectativas.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"El horno es muy bueno. Superó mis expectativas. Tiene un diseño sobrio y elegante. Fácil de manejar. Lo que hemos cocinado nos ha quedado excelente.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",5,1,1
"el horno lo uso a diario y es muy fácil buen precio y lo recomiendo a mis amistades
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",1,1,0
"El horno me falló al primer año de uso ... Los quemadores superiores y he leído muchos comentarios en relación a eso ... La verdad es que desarme el horno y descubrí que el primer conector estaba un poco sulfatado y desconectado ...ya que el cable es muy corto y como que tira el conector ... limpié y con un alicates lo apreté nuevamente y quedó como nuevo :-)
<U+2714> Sí, recomiendo este producto.",3,9,0
"El horno que compre hace ya casi un año, y a los 5 meses empezo a fallar la parte superior, lo compre por los comentarios de muchas personas que me decían que la marca era buena, pero al comprar el horno y la falla me decepcionó.",6,3,1
"El jeans blanco es tela mala, de trasluce demasiado!! Se trasluce toda la ropa interior(considerándola blanca también)!",2,0,1
"El jeans es de una muy buena calidad y muy cómodo a la vez, los colores muy lindos",0,1,0
"El jeans es mas bonito en persona, muy lindo, buena calidad se lo compre oara regalárselo a mi Mamá y Quedo Feliz Muy Bonito.",2,1,1
"El jeans es muy cómodo y bonito!, el tiro alto es realmente tiro alto y la tela es gruesa.
<U+2714> Sí, recomiendo este producto.",0,2,0
"el jeans es muy lindo , normalmente soy talla 40 pero pedí 38 y queda como la modelo , ahora me pedí 36 para que me quedara estilo skinny, es elasticado y muy cómodo.
<U+2714> Sí, recomiendo este producto.",3,1,1
"El jeans me quedó muy bien, pero tiene un olor horrible, lo he lavado muchas veces y el olor queda, con el calor se potencia",1,9,0
"El jeans me quedo perfecto talla 36 y lo retire en tienda en la fecha pactada. Muy comodo y lindo
<U+2714> Sí, recomiendo este producto.",3,1,1
"El jeans negro es modelo chico, por lo tanto hay que pedir una talla más. Además, es tiro medio y no alto, la tela es rígida y se arruga a nivel de las rodillas. Llegó un día después de que me hayan confirmado el pedido.
<U+2714> Sí, recomiendo este producto.",3,4,0
"El jeans negro me salió malo. Al segundo día se me rompió, como si estuviera añejo o podrido, dinero perdido. Los azules salieron buenos, esos me encantaron.",1,7,0
"El jeans tiene la tela muy rígida por ello no me quedó, compre otro modelo igual sybilla y me quedo bien talla 42",1,1,0
"El lápiz funciona perfecto y permite muchas otras funciones.
<U+2714> Sí, recomiendo este producto.",1,0,1
"El líquido se filtra y al mes ya no funciona, pésima calidad.
No lo recomiendo.",0,0,0
"El más económico de los Mac y funciona perfecto. Lo super recomiendo
<U+2714> Sí, recomiendo este producto.",1,0,1
"El material del jeans es horrible. Se me rompió al primer uso.",0,6,0
"El material es bueno, pero no es tan Mom como dice, sobre todo para quiénes tenemos piernas anchas. Me compré talla 46 aunque soy 44 por qué a veces esta marca me queda muy justa, esta vez me quedó un poco suelto pero en bastante bonito, quedé contenta con la compra.
<U+2714> Sí, recomiendo este producto.",4,1,1
"El mejor complemento para el iPad, además el tiempo de entrega fue el correcto. Todo súper rápido!
<U+2714> Sí, recomiendo este producto.",2,0,1
"El modelo del pantalon es muy lindo, tiene bonito calce, es de tiro alto, no es full elasticado pero hay que pedir una talla menos, todo súper!! Pero... no es el color que yo elegí, no se que onda que no mandan lo que uno compra!!! Se aprovechan de que el cambio es muy engorroso, una lata, pero no voy a comprar denuevo :).
PD: pedí el azul oscuro y me enviaron el claro.
El jeans merece 5 <U+2606> pero la venta nop
Mido 1,64... uso talla 44 y encargue 42 y quedo perfecto
<U+2714> Sí, recomiendo este producto.",3,2,1
"El modelo del parlante es igual al de la fotografía , suena bien para el tamaño me encanto , estoy contenta con mi compra , es de buen tamaño para llevar a cualquier lugar , lo recomiendo.",2,0,1
"El modelo es lindo, pero la calidad del pantalón es muy mala se llena de pelusas antes del primer lavado
No lo recomendaría, ni volvería a comprar",3,1,1
"El modelo es Megan, no es mom, por lo
Menos no para mi que compré talla 40 y mido 1,59, pero queda súper cómodo, se ven los tobillos, me gustó mucho para haberlo comprado al ojo. Pedi mi talla de siempre.
<U+2714> Sí, recomiendo este producto.",1,0,1
"El modelo lo correcto de este pantalon es mom strech ya que son mas estrechos quedan un poco o sueltos de pierna pero no es el corte normal de un mom, el pantalón tiene tela de buena calidad y elasticada pero si estan buscando mom tipicos estos no lo son son parecidos a los modelos straight",1,1,0
"El modelo queda excelente y la talla súper bien
<U+2714> Sí, recomiendo este producto.",2,0,1
"el modelo queda hermoso, lo malo es que me quedaron justos, recomiendo ir una talla más grande (compré en color negro)
<U+2714> Sí, recomiendo este producto.",1,4,0
"El modelo y calse de los azules son lindos pero son tallas grandes ya que es elasicado (recomiendo comprar una talla menos) El negro es otro modelo y es super strech (recomiendo comprar una talla mas)",1,3,0
"El negro hay que pedir una talla más, yo soy flaquita y pedí un 36 y no me entro aparte de que se le pegan mucho las pelusas, y pedí el azul medio (por decirlo así) y me llego el oscuro",1,3,0
"El negro queda bonito, es verdad que debe ser 1 talla mas, lo malo que una de las piernas es mucho más angosta que la otra, tendré que cambiarlo.
<U+2714> Sí, recomiendo este producto.",1,4,0
"El pan queda enano ahora, donde adelgazaron el pote. Quien habrá sido el genio.",1,2,0
"El pan queda exquisito, de verdad buenísimo. A mi me gusta el programa del pan N° 1, demora casi tres horas pero vale la pena !!!!!
<U+2714> Sí, recomiendo este producto.",2,2,0
"El pan queda genial! También he hecho varias veces mermelada y súper bien. Muy recomendada
<U+2714> Sí, recomiendo este producto.",2,2,0
"El pan queda muy rico siguiendo los pasos que indica el recetario
La recomiendo 100%
He causado impacto con mi pancito <U+263A><U+FE0F>
<U+2714> Sí, recomiendo este producto.",1,2,0
"El pantalón azul es bellisimo y cómodo, lo recomiendo 100%. La talla es la que corresponde:
<U+2714> Sí, recomiendo este producto.",0,0,0
"El pantalón azul que pedí es idéntico a la foto y a todo lo que se ve, elasticados, muy cómodos y de tela suave, se acomodan perfectamente al cuerpo, pedí un 42 y me quedó perfecto, lo recomiendo. Además, se demoró super poco el despacho a mi región, llegó mucho antes de lo presupuestado!
<U+2714> Sí, recomiendo este producto.",1,1,0
"El pantalón es bonito y llego rápido, pero considerar una talla menos ya que es grande, soy 38 y me quedo muy grande, parece un 40
<U+2714> Sí, recomiendo este producto.",0,1,0
"El pantalón es lindo, muy cómodo, no viene cosido abajo por lo que se puede desenrollar para que quede mas largo, pero no es tipo mom, es apretado y bastante elasticado así que recomiendo comprar una talla menos porque yo compré mi talla habitual y luego de un rato de usarlo la tela dio y se empezaron a hacer bolsas
<U+2714> Sí, recomiendo este producto.",4,1,1
"El pantalón es muy bonito y la tela es suave y se nota que puede ceder en algún momento, yo soy talla 36 y pedí la talla 36, la cual me quedo muy bien. Lo que si me pasó fue que lo pedí en color azul y me llego en blanco, así que eso no me gusto, pero me quedaré el pantalón porque es súper cómodo.
<U+2714> Sí, recomiendo este producto.",3,2,1
"El pantalón es muy cómodo y bonito, pero recomiendo pedir una talla más que la de costumbre; en la cintura y muslo es ajustado para ser mom jeans la verdad. Generalmente soy 36 y el 34 me quedo perfecto, y una amiga que es 38 compro 36 y le quedo bien también. Espero que sea útil <3
<U+2714> Sí, recomiendo este producto.",2,1,1
"El pantalón es muy lindo y cómodo. Tuve que cambiarlo por talla y no hubo problemas al hacerlo. Lo compré con retiro en tienda y se demoró dos días en llegar.
<U+2714> Sí, recomiendo este producto.",3,1,1
"El pantalón es un mom, de tela medianamente elasticada. Personalmente compre mi talla 42, pero me hubiera quedado bien el 40.
De cadera me queda bien, pero de cintura me queda ancho (esto porque soy triangulo invertido y mi cintura es pequeña), pero se soluciona con un cinturón.
Compre los 3 colores y la tela del azul es diferente a la del blanco y negro, estos últimos son mas denim tradicional.
Los compré a principio de año cuando estaban mas baratos que ahora.
<U+2714> Sí, recomiendo este producto.",2,3,0
"El pantalón que llegó es muy diferente al de la fotografía, tiene otro color y otro calce... una decepción.",0,1,0
"El pantalón queda como se ve en la foto (yo tengo el negro), es súper cómodo y muy versátil, no hay que hacerle nada, hasta de largo me quedó súper.
Recomiendo que sea lavado a mano, al menos eso hago yo y no plancharlo.
<U+2714> Sí, recomiendo este producto.",0,5,0
"el pantalón se ve bien y buena calidad, pero estaban mal ajustado en la parte del pie, uno era notoriamente mas pequeño que otro, de hecho no entraba el pie en uno y en el otro si.",0,4,0
"El pantalon venia todo sucio y con el cierre roto ademas sin ninguna etiqueta una decilusion",1,2,0
"El parlante en volúmenes bajos y medios es bastante bueno, pero en volúmenes altos es pésimo, pierde demasiado bass, al punto de ser desagradable",4,3,1
"El porte es excelente y fácil de utilizar mi hija de 9 años se hace sola los batidos
<U+2714> Sí, recomiendo este producto.",2,0,1
"El precio de este computador lo he estado siguiendo más de un año y se pasan de aprovechadores!! El valor lo tenían en menos de 700 y ahora llegando de ese precio hacia arriba no justifica el producto ya que es una versión bien antigua de poco más de 5 años! No compren cuando esté así de caro, cuiden su dinero..",5,1,1
"El precio lo vale, si eres fanatico de la música haz como yo , cómprate de regalo uno, se escucha espectacular no para animar una fiesta, pero buena potencia, buenos graves , independiente del teléfono , y puedes contestar en el parlante .. para el parque o un asadito ideal
<U+2714> Sí, recomiendo este producto.",8,0,1
"El precio mas elevado que el promedio de hornos del mercado pero vale la pena, muy amplio y de fácil uso. Totalmente recomendado.
<U+2714> Sí, recomiendo este producto.",0,6,0
"El precio-calidad está bien, suenan súper y dura mucho la bateria, son faciles de usar. Son un poco incómodos pero es cosa de adaptarse al tamaño de la goma.
<U+2714> Sí, recomiendo este producto.",0,0,0
"El primer día de uso y se rompió en 2 partes... muy mal la costura o nose qué... no los recomiendo",0,5,0
"El primer uso quedó el pan muy rico, y al segundo uso comenzó a mezclar los ingredientes y se apagó. De ahí no encendió más.",0,2,0
"El producto adquirido cumple con las espectativas y aún mejor supera lo esperado y eso nos tiene contentos.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"el producto calienta y funciona bien en lo que es temperatura... pero es horribleee no poder calcular por ejemplo 20 segundos o menor tiempo, todo se sobre calienta porque cuesta demasiado regular con la perilla.. lo otro es que al principio sonaba la rejilla de atrás de la ventilación porque estaba suelta, y ahora meses depuesta el motor que gira el plato interior suena como que le faltara aceite... un sonido supe desagradable... la verdad es que yo no recomiendo este microondas y tampoco lo volvería a comprar.",12,15,0
"El producto cumple con las expectativas a un precio bajo, cero problemas con el hasta ahora",0,0,0
"El producto cumple con todo lo que esperaba, el tamaño es perfecto, lo uso para todo tipo de preparaciones y me encanta!
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",1,0,1
"El producto cumple plenamente con lo que ofrece, la relación precio / calidad es muy buena. Producto totalmente recomendable.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",1,1,0
"El producto cumplió mis expectativas deja los alimentos muy bien y lo recomiendo
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,1,0
"El producto es bonito, el cable de corriente cómo esta dispuesto no se va a cortar como suele suceder con este tipo de productos.
Aparte de los dos botones de rápido y lento, tiene una perilla de aumenta y disminuye las revoluciones.
El vaso cerrado para picar, no pulveriza por si se piensa hacer una pasta.",2,4,0
"El producto es bonito, fácil de utilizar queda el pan exquisito ahora tuvo una falla con 2 meses de uso y no todos los días, una de la teclas de panel se cayó al interior de la máquina (tiempo-) y al apretar las otras teclas te das cuenta que el panel digital está suelto, no la he vuelto a utilizar porque estoy tratando de contactar para ver tema de garantía . Ojala tenga una solución pronto.",3,2,1
"El producto es bueno, buen sonido, cuesta si ajustar en los oidos.
<U+2714> Sí, recomiendo este producto.",3,0,1
"El producto es bueno, es muy practico y fácil su uso. El único inconveniente que no me imaginé, es todo lo que se calienta por fuera del horno, por lo que hay que tener mucho cuidado al tenerlo en funcionamiento
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",3,3,0
"El producto es bueno, tiene buen motor y potencia para picar. Lo malo las gomas de la base, a la primera lavada del vaso se perdieron",4,2,1
"el producto es de calidad, debido a la marca que lo provee, a pesar de tener un tamaño reducido, el sonido es limpio y sin distorsiones. fácil de transportar, ya que lo llevo a todos lados y la batería dura mas que los homólogos de otras marcas.",1,0,1
"El producto es espectacular, cumple con todas las expectativas, Lo único malo es que no se cumplieron con los plazos, primero se demoraron en la confirmación Y luego en la entrega...",1,1,0
"El producto es espectacular, vuela y demasiado liviano, lo puedes andar trayendo en cualquier parte...
<U+2714> Sí, recomiendo este producto.",0,0,0
"El producto es fácil de utilizar, muy practico, el pan queda muy rico (Si siguen las instrucciones del recetario) por lo único que le doy 4 estrellas es por que el recetario es muy básico, y se puede hacer muchas cosas mas con el equipo.(en Internet hay muchas mas recetas) en resumen si cumple.",1,2,0
"El producto es magnífico. Cumple con todo lo requerido. Por mis exigencias.si fuésemos una familia más numerosa quisas necesitaría algo más grande pero para mí familia es perfecto
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",2,0,1
"el producto es muy bueno, pero las especificaciones no concuerda con la prenda
<U+2714> Sí, recomiendo este producto.",4,1,1
"El producto es muy cómodo, fácil de usar el tema es que los líquidos se filtran.",0,1,0
"El producto funciona regio en un comienzo, solo usándolo para uso doméstico (un par de veces por semana) al poco tiempo comenzó a presentar problemas de sobrecalentamiento en la parte superior y aproximadamente a los 11 meses dejó de calentar, pese a que prendía sus luces y funcionaba el ventilador. Simplemente dejo de funcionar.",3,0,1
"El producto funciona tan bien o mejor que un horno de cocina tradicional. Calienta de forma homogénea y alcanza altas temperaturas de forma rápida. Entran 2 bandejas con una pizza mediana-familia sin problemas.
<U+2714> Sí, recomiendo este producto.",9,0,1
"El producto llegó a los 2 días a mi domicilio!
<U+2714> Sí, recomiendo este producto.",1,0,1
"El producto llegó antes de lo esperado y en buen estado.",1,0,1
"El producto llego en excelentes condiciones, gracias",0,0,0
"El producto llego muy rápido!. Buena opción, considerando el valor.",2,1,1
"El producto me dejo conforme, la marca no me ha fallado, lo recomiendo. Llevo varios meses usándolo y hasta el momento todo funciona bien
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"EL producto me sirvio tanto para Netflix como para Amazon TV, ademas proyecto todo lo necsario del celular a la pantalla del TV, diarios y videos youtube
<U+2714> Sí, recomiendo este producto.",0,0,0
"El producto muy útil y el despacho se realizó el día en que estaba agendado !",0,1,0
"El producto no e podido probarlo ya que no incluye cargador de pared ni base para cargarlo.!! NO ES MUY CLARO QUE ES LO QUE TRAE.! VIENE SOLO EL PARLANTE CON UN CABLE USB .!!!! AUN NO PUEDO PROBARLO.! Malo por ese lado.",1,2,0
"El producto para mi es Magnífico. Solucionó el inconveniente de ver en miniatura el video de mis clases de yoga. Estoy Muy Feliz.",1,3,0
"El producto presentó fallas, no sincronizaron los audífonos, al momento de hacer funcionar siempre funcionó solamente uno.",1,0,1
"El producto que adquirí cumplió todas Mis espectativas es muy bueno,capacidad precisa,fácil de limpiar y lo mejor que me salió muy económico
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",5,1,1
"el producto sirve mucho para programas como office , zoom y lo mas usado para estudiar puedes estar conectado a una clase desde las 8:00 a las 16:00 y te sigue sobrando batería , ademas de ser un equipo muy fácil de llevar a todos lados
<U+2714> Sí, recomiendo este producto.",1,2,0
"El R es muy difícil que quede conectado, se interrumpe el sonido a cada rato",0,1,0
"El recetario que trae no sirve, el pan no queda bien. Buscando por internet encontré recetas mejores.",0,1,0
"El recetario que trae tiene malas las medidas, haciendo varios ajustes el resultado es muy bueno
<U+2714> Sí, recomiendo este producto.",4,1,1
"El recetario y las indicaciones de uso, son fáciles y útiles, buena compra estoy muy satisfecha.
<U+2714> Sí, recomiendo este producto.",0,1,0
"El recipiente es pequeño, pero los resultados son muy buenos, los apanados y las papás fritas quedan muy crujientes y sin una gota de aceite
<U+2714> Sí, recomiendo este producto.",0,3,0
"El sonido es genial, lo recomiendo al 100%, lo llevas a espacios libres y logras deleitarte con un buen audio.",1,0,1
"El sonido es genial. 100% recomendable.",2,0,1
"El sonido muy bueno, lo malo que esta edición especial no trae un cargador ni la base, es un burdo ahorro al producto es mejor comprar el otro sku 7097748, ese viene completo y cuesta lo mismo. No compren esta edición especial, no vale la pena",7,3,1
"El tamaño del pan no es muy grande, de hecho parece más pequeño que el modelo anterior de esta maquina, pero sin duda cumple su función, el pan queda bien con tan solo seguir las instrucciones y es fácil. La recomiendo.",1,3,0
"El tamaño es como para 2 porciones. Hasta el momento no he tenido ningún problema, me ha funcionado super bien.",0,1,0
"El tamaño es más pequeño, pero de papás duquesas alcanza fácil para 3 porciones, además que están listas en 10 min. Hay que leer el catálogo para no cometer errores. Todo queda con rico sabor y textura. Yo feliz con mi compra y el precio inigualable.
<U+2714> Sí, recomiendo este producto.",2,0,1
"El tamaño es perfecto hasta para 3 personas, sirve mucho para los alimentos congelados como papas fritas, nuggets, etc. También, he intentado hacer postres personales para el desayuno y se da muy bien, porque es como un horno pequeño.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en falabella.com.pe",3,1,1
"El tamaño es súper práctico, sin embargo la tinta dura súper poco, es fácil conectarla para imprimir por el celular pero al pasar los días se des configura y ahí que volver a conectarla. Si quieres sanear no queda una copia de respaldo en el pc de lo que escaneaste.",1,2,0
"El tiro es alto no es apreatada la cintura
<U+2714> Sí, recomiendo este producto.",0,1,0
"El tiro es super alto, cómodo... Aunque no queda como mom, queda muy lindo igual
<U+2714> Sí, recomiendo este producto.",1,2,0
"el zapato es un poco rigido pero por lo demas esta super lindo y se ve bien con todo.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en reebok.com",1,0,1
"Elasticados, cómodos, bonito color y buen largo, compraré más
<U+2714> Sí, recomiendo este producto.",0,0,0
"Elástico, se adhiere bien al cuerpo, después de unos cuantos lavados se suelta un poco pero muy conforme.",0,1,0
"Elegante diseño, variados tipos de cocción. La superficie no calienta nada y a los lados no calienta mucho. Arriba del horno de acumula todo el calor, recomendable tener espacio para evitar inconvenientes. La comida queda espectacular.",9,9,0
"Elegante, liviano , rápido , completo en funciones y fácil de lavar.
Si o si lo deberías comprar
<U+2714> Sí, recomiendo este producto.",9,0,1
"Elegante, trae varias bandejas para cocinar además de un tomador para sacarlas y así evitar quemarse , las bandejas son muy fáciles de limpiar , muy útil para el precio
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",3,3,0
"Elegí el azul en talla 36 y me llegó en color blanco... Pedir una talla menos en ese color, me quedó suelto. La tela es gruesa y suave lo único bueno.",4,0,1
"Elegí este modelo y no el 2019, solo porque le puedes ampliar el disco duro... hasta el momento todo ok.
<U+2714> Sí, recomiendo este producto.",2,1,1
"En 6 meses de uso, todo impecable.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",2,0,1
"En color azul para que me quede como mom comprar mi talla o una más
SÍ mi talla
NO una talla más",0,0,0
"En cuanto a relación precio calidad es muy bueno y cumple para lo que se compró
<U+2714> Sí, recomiendo este producto.",9,3,1
"En donde esté puedo ver netflix y así acompañada con mis películas y series favoritas.
<U+2714> Sí, recomiendo este producto.",1,0,1
"En el mes que lo tengo ya he cocinado muchas cosas en el. Es lo que esperaba.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",0,0,0
"En el primer uso se rompió en dos parte, el de color negro es una pérdida de dinero",1,3,0
"En el primer uso todo bien y después tuve muchos problemas no la recomiendo",0,0,0
"En Epson.cl están mucho más baratas
<U+2714> Sí, recomiendo este producto.",0,0,0
"En esta marca soy 38 y pedi 38 (tengo 66 cm de cintura y 96 de caderas) y me quedo bien pero ojo me quedo como cualquier jeans skinny y no etilo mom como queria, la tela es elasticada y realmente es tiro alto
<U+2714> Sí, recomiendo este producto.",0,1,0
"En esta marca soy 38, pense en comprar un 40 ya que es un mom, pero finalmente me decidi por el 38 ya que me quedo bien!, un 40 hubiera sido muy grande en la cintura.
Recomiendo comprar la misma talla que compres siempre en Sybilla.
Es elasticado y muy cómodo
<U+2714> Sí, recomiendo este producto.",1,1,0
"En general el pantalón es muy bonito y de tiro alto, el único detalle es que son más bien ajustados al cuerpo por lo que si buscas un pantalón más bien suelto, sugiero pedir 1 o 2 tallas más. El pantalón no queda como en la foto, queda más ajustado aún",1,2,0
"En general es un excelente jeans, tiene buen calce, el negro no es tan elasticado, el unico problema es que me llego un azul oscuro y yo encargué el claro
<U+2714> Sí, recomiendo este producto.",2,4,0
"en general soy 40/42 y en la tabla de tallas se suponía que era 38,de igual manera me pedí un 44 para que me quedara suelto cosa que no fue así,me quedo justo un poco suelto. igual está lindo y llegó antes de lo esperado",4,0,1
"en general todo bien no la he usado tanto porque es para la universidad pero lo que ha sido usado ha andado impeque
<U+2714> Sí, recomiendo este producto.",2,1,1
"En general uso entre talla 38 y 40. Pedí el 40 y quedó perfecto.
<U+2714> Sí, recomiendo este producto.",2,0,1
"En general, me ha funcionado super bien, y me encuentro satisfecha con el producto relación precio - calidad.
Sólo tengo dos observaciones, y es por esto las 4 estrellas.
- No incluye cable de conexión al ordenador.
- En un inicio, las impresiones en blanco y negro eran un tanto borrosas, solo al inicio de la página de impresión. Luego de una limpieza de cabezales, alineación, etc (Todas las opciones ofrecidas por el software), las impresiones comenzaron a salir muy bien.",5,4,1
"En la descripción del producto dice ser fabricada en Japón, pero al comprarla me encuentro que es fabricada en China!!!!",0,0,0
"En lo persona si talla elasticada, una talla menos de lo que eres debes elegir ok, pero el azul no es como el de la foto es mas oscuro y a mi vista no me gusto en lo absoluto, todo lo demas ok y ojo ES CORTO llega a los tobillos un poquito mas abajo nada mas",2,1,1
"En los jeans dice azul claro y el pantalón es súper oscuros muy distinto el color que sale ahí a el color que te mandan",0,1,0
"En menos de dos meses de uso! Se echo a perder el carro que baja el papel de la impresora",0,4,0
"En mi caso hice pan, queque, etc según recetario que trae la maquina, si uno desea pan de esas dimensiones es bueno usar el proceso completo. En mi caso solo programo hasta que haga la masa 20 min y esta la preparo para ir al horno de la cocina, e hecho dobladitas, pan frances etc. a quedado genial en 30 min tengo 20 panes según cuanto quiera. me ahorro el esfuerzo la maquina lo hace todo. la cocina es un arte paciencia y mucho cariño sale todo genial.
<U+2714> Sí, recomiendo este producto.",11,2,1
"En mi máquina no venía recetario.
<U+2714> Sí, recomiendo este producto.",0,0,0
"En mi opinión es realmente el mejor en su categoría.
<U+2714> Sí, recomiendo este producto.",0,0,0
"En muy fácil de manejar, buen precio por la calidad del producto. realmente la recomiendo.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en falabella.com.co",0,1,0
"En otros modelos de la misma marca soy 42,compre talla 40 y quedo perfecto..es muy elastico ,calce perfecto...me canse de los pitillos y el doblaje de abajo se desarme por lo q puede quedar mas largo,ahora esperando q haya stock de azul
<U+2714> Sí, recomiendo este producto.",1,1,0
"En precio y calidad fue una buena compra, todo bien hasta el momento.
<U+2714> Sí, recomiendo este producto.",0,0,0
"En primer lugar, el Jeans (azul 2).
Llegó antes de la fecha indicada, en perfectas condiciones. El color es muy bonito, igual al de la fotografía. Antes de comprar me guíe por otros comentarios anteriores.
Me refiero a la Talla, yo habitualmente ocupó jeans 40 o 38, y como decían que era elasticado, encargué en 38. Y es maravilloso, muy cómodo y queda perfecto a tu figura.
Referencia al despacho, la persona, fue muy amable y respetuosa al momento de la entrega. Y mantuvo las medidas sanitarias que estamos haciendo ahora.
<U+2714> Sí, recomiendo este producto.",8,1,1
"En realidad no es de extrañar que independiente del tamaño que tenga, un parlante Bosé no deja de sorprender la calidad del sonido y sobretodo sus graves. Muy buen producto, portátil, pequeño y cumple con las espectativas que requería. Lo recomiendo.
<U+2714> Sí, recomiendo este producto.",1,1,0
"En relación a la potencia del motor, este cumple las expectativas. Práctico y fácil de usar. Buen producto.",1,0,1
"En ripley está más barato y abcdin aún más barato les dejo el dato.... aca se desbocaron",1,1,0
"En tienda no los había podido pillar, y Pto Montt está en cuarentena. Leí que era el modelo Emily así que espero que sea realmente ese ya que ese es el que buscaba.
<U+2714> Sí, recomiendo este producto.",3,0,1
"En un comienzo estaba muy satisfecha. Es amplio y tiene dos bandejas. Pero en marzo fallaron las barras calentadoras superiores. No lo recomiendo.",0,3,0
"Encantada con mi equipo! Muy liviano, dura ene la carga
Fácil y practico de trasladar
<U+2714> Sí, recomiendo este producto.",0,2,0
"Encarge talla 42 porq ya los habia tenido, sorpresa! Llegaron en 36, mi tienda mas cercana cerrada por cuarentena, y solo 30 dias para cambio, creo que los perdere...
<U+2714> Sí, recomiendo este producto.",2,0,1
"Encargué el negro, en 44 y me quedo súper. El largo es justo, mido 1,67 y no me quedó al tobillo. Es súper pitillo, pero al ser elasticado es bien cómodo.",1,3,0
"Entraron al sitio de Falabella de Colombia (falabella.com.co)
Tienen que entrar a falabella.cl
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en falabella.com.co",0,0,0
"Entrega en el día que dijeron, y el producto excelente cumplió las expectativas, mejor que cualquier Smart tv",2,0,1
"Entrega en la fecha indicada, el producto una maravilla, funciona super rapido!! lo unico es que al principio la actualizacion demoró unas horas pero luego sin ningun problema, usando el telefono como control. lo recomiendo",2,1,1
"Entrega rápida, excelente producto",2,0,1
"Envió rápido, si bien viene sin base y enchufe,,, se carga con cualquier otra alternativa, pero suena,,,, como todo un Bose
<U+2714> Sí, recomiendo este producto.",0,1,0
"Equipo bastante liviano y practico, cumple con los requerimientos para poder realizar trabajos de oficina utilizando diversos programas de forma simultanea, mas hoy en dia que nos ha tocado hacer teletrabajo....y el equipo a funcionado a la perfección y con una velocidad bastante optima
<U+2714> Sí, recomiendo este producto.",3,1,1
"Equipo cumple con expectativa. Si tamaño es perfecto.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",2,0,1
"Equipo que en el primer uso se recalienta.
Equipo que no funciona como debe ser. No permitió terminar su funcionamiento. Defectuoso.
Publicada originalmente en falabella.com.co",0,2,0
"equipo viejo",0,0,0
"Era lo que esperaba por precio y calidad.
<U+2714> Sí, recomiendo este producto.",0,0,0
"era lo que esperaba, es maravillosa, me guie por recetario y todo bien",0,0,0
"Era lo que necesitaba y tiene el tamaño adecuado especial para mi hermana que vive sola
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",3,0,1
"Era lo que se esperaba super práctico y fácil de usar",0,0,0
"Era mucho más de lo que esperaba..buena marca espacioso y bonito 100% recomendado a mis compañeros de trabajo.
<U+2714> Sí, recomiendo este producto.
Publicada originalmente en sodimac.cl",3,0,1
"Era para un cambio de uno marca recco que tenía, en resumen aun tengo el recco y no este. Poca fuerza, mala calidad de las piezas, no me alcanzó a durar 2 meses.",1,1,0
"Eran para mi hija y a ella le gustan mucho
<U+2714> Sí, recomiendo este producto.",1,0,1
