"","Palabra","negative","positive","positivo","negativo"
"2604","para",0,0,0,0
"2605","calentar",0,0,0,0
"2606","tiene",0,0,0,0
"2607","un",0,0,0,0
"2608","rango",0,0,0,0
"2609","amplio",0,0,0,0
"2610","en",0,0,0,0
"2611","cuato",0,0,0,0
"2612","a",0,0,0,0
"2613","la",0,0,0,0
"2614","temperatura",0,0,0,0
"2615","lo",0,0,0,0
"2616","que",0,0,0,0
"2617","la",0,0,0,0
"2618","vuelve",0,0,0,0
"2619","flexible",0,0,0,0
"2620","lastima",0,0,0,0
"2621","que",0,0,0,0
"2622","actualmente",0,0,0,0
"2623","el",0,0,0,0
"2624","env",0,0,0,0
"2625","o",0,0,0,0
"2626","sea",0,0,0,0
"2627","un",0,0,0,0
"2628","total",0,0,0,0
"2629","asco",1,0,0,1
"2630","casi",0,0,0,0
"2631","me",0,0,0,0
"2632","la",0,0,0,0
"2633","tiran",0,0,0,0
"2634","por",0,0,0,0
"2635","la",0,0,0,0
"2636","cabeza",0,0,0,0
"2637","sin",0,0,0,0
"2638","otro",0,0,0,0
"2639","producto",0,0,0,0
"2640","ni",0,0,0,0
"2641","explicaciones",0,0,0,0
"2642","nunca",0,0,0,1
"2643","hab",0,0,0,0
"2644","a",0,0,0,0
"2645","tenido",0,0,0,0
"2646","tan",0,0,0,0
"2647","horrible",6,0,0,1
"2648","experiencia",0,0,0,0
"2649","con",0,0,0,0
"2650","un",0,0,0,0
"2651","env",0,0,0,0
"2652","o",0,0,0,0
"2653","de",0,0,0,0
"2654","tienda",0,1,0,0
"2655","la",0,0,0,0
"2656","base",0,0,0,0
"2657","es",0,0,0,0
"2658","muy",1,0,0,0
"2659","simple",0,0,0,0
"2660","de",0,0,0,0
"2661","armar",0,0,0,0
"2662","sin",0,0,0,0
"2663","embargo",1,0,0,0
"2664","sus",0,0,0,0
"2665","terminaciones",0,0,0,0
"2666","no",0,0,0,0
"2667","son",0,0,0,0
"2668","las",0,0,0,0
"2669","mejores",0,0,1,0
"2670","si",0,0,0,0
"2671","bien",0,0,0,0
"2672","soporta",0,0,0,0
"2673","perfectamente",0,0,1,0
"2674","el",0,0,0,0
"2675","peso",1,2,0,0
"2676","las",0,0,0,0
"2677","costuras",0,0,0,0
"2678","son",0,0,0,0
"2679","deficientes",0,0,0,1
"2680","el",0,0,0,0
"2681","colch",0,0,0,0
"2682","n",0,0,0,0
"2683","es",0,0,0,0
"2684","muy",1,0,0,0
"2685","bueno",0,3,1,0
"2686","es",0,0,0,0
"2687","blando",0,0,0,0
"2688","pero",0,0,0,0
"2689","no",0,0,0,0
"2690","pierde",0,0,0,1
"2691","la",0,0,0,0
"2692","forma",0,1,0,0
"2693","recomendable",0,1,1,0
"2694","perfectamente",0,0,1,0
"2695","excelente",0,1,1,0
"2696","cumple",0,0,1,0
"2697","los.plazos",0,0,0,0
"2698","feliz",0,1,1,0
"2699","con",0,0,0,0
"2700","falabella",0,0,0,0
"2701","on",0,0,0,0
"2702","line",0,0,0,0
"2703",NA,0,0,0,0
"2704","su",0,0,0,0
"2705","calidad",0,0,0,0
"2706","es",0,0,0,0
"2707","excelente",0,1,1,0
"2708","mejor",0,0,1,0
"2709","de",0,0,0,0
"2710","lo",0,0,0,0
"2711","que",0,0,0,0
"2712","esperaba",0,0,0,0
"2713","los",0,0,0,0
"2714","recomiendo",0,0,1,0
"2715","u",0,0,0,0
"2716","2714",0,0,0,0
"2717","s",0,0,0,0
"2718","recomiendo",0,0,1,0
"2719","este",0,0,0,0
"2720","producto",0,0,0,0
"2721","publicada",0,0,0,0
"2722","originalmente",0,0,0,0
"2723","en",0,0,0,0
"2724","adidas.com",0,0,0,0
"2725","es",0,0,0,0
"2726","un",0,0,0,0
"2727","producto",0,0,0,0
"2728","demasiado",0,0,0,0
"2729","f",0,0,0,0
"2730","u",0,0,0,0
"2731","fffd",0,0,0,0
"2732","cil",0,0,0,0
"2733","de",0,0,0,0
"2734","armar",0,0,0,0
"2735","llego",0,0,0,0
"2736","en",0,0,0,0
"2737","la",0,0,0,0
"2738","fecha",0,0,0,0
"2739","y",0,0,0,0
"2740","hora",0,0,0,0
"2741","indicada",0,0,0,0
"2742","muy",1,0,0,0
"2743","lindo",0,1,1,0
"2744","y",0,0,0,0
"2745","lo",0,0,0,0
"2746","mas",0,0,0,0
"2747","importante",0,1,1,0
"2748","cumple",0,0,1,0
"2749","su",0,0,0,0
"2750","funci",0,0,0,0
"2751","u",0,0,0,0
"2752","fffd",0,0,0,0
"2753","n",0,0,0,0
"2754","super",0,0,1,0
"2755","c",0,0,0,0
"2756","u",0,0,0,0
"2757","fffd",0,0,0,0
"2758","moda",0,0,0,0
"2759","u",0,0,0,0
"2760","2714",0,0,0,0
"2761","s",0,0,0,0
"2762","recomiendo",0,0,1,0
"2763","este",0,0,0,0
"2764","producto",0,0,0,0
"2765","me",0,0,0,0
"2766","encanta",0,0,1,0
"2767","este",0,0,0,0
"2768","parlante",0,0,0,0
"2769","es",0,0,0,0
"2770","peque",0,0,0,0
"2771","o",0,0,0,0
"2772","pr",0,0,0,0
"2773","ctico",0,0,0,0
"2774","la",0,0,0,0
"2775","bater",0,0,0,0
"2776","a",0,0,0,0
"2777","es",0,0,0,0
"2778","duradera",0,0,1,0
"2779","y",0,0,0,0
"2780","aunque",0,0,0,0
"2781","no",0,0,0,0
"2782","tiene",0,0,0,0
"2783","gran",0,0,0,0
"2784","intensidad",0,0,0,0
"2785","como",0,0,0,0
"2786","otros",0,0,0,0
"2787","parlantes",0,0,0,0
"2788","m",0,0,0,0
"2789","s",0,0,0,0
"2790","grandes",0,0,0,0
"2791","la",0,0,0,0
"2792","calidad",0,0,0,0
"2793","de",0,0,0,0
"2794","audio",0,0,0,0
"2795","es",0,0,0,0
"2796","excelente",0,1,1,0
"2797","entrega",0,1,0,0
"2798","en",0,0,0,0
"2799","la",0,0,0,0
"2800","fecha",0,0,0,0
"2801","indicada",0,0,0,0
"2802","el",0,0,0,0
"2803","producto",0,0,0,0
"2804","una",0,0,0,0
"2805","maravilla",0,1,1,0
"2806","funciona",0,0,0,0
"2807","super",0,0,1,0
"2808","rapido",0,0,0,0
"2809","lo",0,0,0,0
"2810","unico",0,0,0,0
"2811","es",0,0,0,0
"2812","que",0,0,0,0
"2813","al",0,0,0,0
"2814","principio",0,0,0,0
"2815","la",0,0,0,0
"2816","actualizacion",0,0,0,0
"2817","demor",0,0,0,0
"2818","unas",0,0,0,0
"2819","horas",0,0,0,0
"2820","pero",0,0,0,0
"2821","luego",0,0,0,0
"2822","sin",0,0,0,0
"2823","ningun",0,0,0,0
"2824","problema",1,0,0,1
"2825","usando",0,0,0,0
"2826","el",0,0,0,0
"2827","telefono",0,0,0,0
"2828","como",0,0,0,0
"2829","control",0,0,0,0
"2830","lo",0,0,0,0
"2831","recomiendo",0,0,1,0
"2832","buen",0,0,1,0
"2833","colch",0,0,0,0
"2834","n",0,0,0,0
"2835","no",0,0,0,0
"2836","as",0,1,0,0
"2837","la",0,0,0,0
"2838","base",0,0,0,0
"2839","dado",0,0,0,0
"2840","que",0,0,0,0
"2841","suena",0,0,0,0
"2842","mucho",0,0,0,0
"2843","como",0,0,0,0
"2844","si",0,0,0,0
"2845","la",0,0,0,0
"2846","hubieran",0,0,0,0
"2847","hecho",0,0,0,0
"2848","con",0,0,0,0
"2849","madera",0,0,0,0
"2850","verde",0,2,0,0
"2851","que",0,0,0,0
"2852","luego",0,0,0,0
"2853","se",0,0,0,0
"2854","sec",0,0,0,0
"2855","es",0,0,0,0
"2856","una",0,0,0,0
"2857","cama",0,0,0,0
"2858","que",0,0,0,0
"2859","dura",0,0,0,0
"2860","muy",1,0,0,0
"2861","poco",0,0,0,1
"2862","a",0,0,0,0
"2863","los",0,0,0,0
"2864","dos",0,0,0,0
"2865","a",0,0,0,0
"2866","os",0,0,0,0
"2867","se",0,0,0,0
"2868","sienten",0,0,0,0
"2869","los",0,0,0,0
"2870","resortes",0,0,0,0
"2871","y",0,0,0,0
"2872","tengo",0,0,0,0
"2873","unos",0,0,0,0
"2874","dolores",0,0,0,1
"2875","horribles",0,0,0,1
"2876","de",0,0,0,0
"2877","espalda",0,0,0,0
"2878","mejor",0,0,1,0
"2879","invierta",0,0,0,0
"2880","un",0,0,0,0
"2881","poco",0,0,0,0
"2882","m",0,0,0,0
"2883","s",0,0,0,0
"2884","de",0,0,0,0
"2885","dinero",0,1,0,0
"2886","y",0,0,0,0
"2887","busque",0,0,0,0
"2888","algo",0,0,0,0
"2889","mejor",0,0,1,0
"2890","maravilloso",0,4,1,0
"2891","me",0,0,0,0
"2892","encant",0,0,0,0
"2893","comodisimo",0,0,1,0
"2894","full",0,0,0,0
"2895","recomendado",0,0,1,0
"2896","u",0,0,0,0
"2897","2714",0,0,0,0
"2898","s",0,0,0,0
"2899","recomiendo",0,0,1,0
"2900","este",0,0,0,0
"2901","producto",0,0,0,0
"2902","cumpli",0,0,1,0
"2903","con",0,0,0,0
"2904","expectativas",0,0,0,0
"2905","buen",0,0,1,0
"2906","tama",0,0,0,0
"2907","o",0,0,0,0
"2908","y",0,0,0,0
"2909","buen",0,0,1,0
"2910","precio",0,0,0,0
"2911","u",0,0,0,0
"2912","2714",0,0,0,0
"2913","s",0,0,0,0
"2914","recomiendo",0,0,1,0
"2915","este",0,0,0,0
"2916","producto",0,0,0,0
"2917","publicada",0,0,0,0
"2918","originalmente",0,0,0,0
"2919","en",0,0,0,0
"2920","sodimac.cl",0,0,0,0
"2921","cumple",0,0,1,0
"2922","con",0,0,0,0
"2923","lo",0,0,0,0
"2924","esperado",0,0,0,0
"2925","se",0,0,0,0
"2926","rompi",0,0,0,0
"2927","un",0,0,0,0
"2928","vaso",0,0,0,0
"2929","al",0,0,0,0
"2930","primer",0,0,0,0
"2931","uso",0,0,0,0
"2932","no",0,0,0,0
"2933","la",0,0,0,0
"2934","recomiendo",0,0,1,0
"2935","muy",1,0,0,0
"2936","pr",0,0,0,0
"2937","ctica",0,0,0,0
"2938","especial",0,1,1,0
"2939","para",0,0,0,0
"2940","tener",0,0,0,0
"2941","pan",1,0,0,0
"2942","en",0,0,0,0
"2943","casa",0,1,0,0
"2944","sin",0,0,0,0
"2945","tener",0,0,0,0
"2946","que",0,0,0,0
"2947","salir",0,0,0,0
"2948","a",0,0,0,0
"2949","comprar",0,0,0,0
"2950","el",0,0,0,0
"2951","recetario",0,0,0,0
"2952","es",0,0,0,0
"2953","muy",1,0,0,0
"2954","b",0,0,0,0
"2955","sico",0,0,0,0
"2956","y",0,0,0,0
"2957","algunas",0,0,0,0
"2958","recetas",0,0,0,0
"2959","no",0,0,0,0
"2960","andan",0,0,0,0
"2961","bien",0,0,1,0
"2962","de",0,0,0,0
"2963","todas",0,0,0,0
"2964","formas",0,0,0,0
"2965","en",0,0,0,0
"2966","internet",0,0,0,0
"2967","se",0,0,0,0
"2968","pueden",0,0,0,0
"2969","encontrar",0,0,0,0
"2970","muchas",0,0,0,0
"2971","variantes",0,0,0,0
"2972","u",0,0,0,0
"2973","2714",0,0,0,0
"2974","s",0,0,0,0
"2975","recomiendo",0,0,1,0
"2976","este",0,0,0,0
"2977","producto",0,0,0,0
"2978","generalmente",0,0,0,0
"2979","compro",0,0,0,0
"2980","en",0,0,0,0
"2981","sybilla",0,0,0,0
"2982","38",0,0,0,0
"2983","40",0,0,0,0
"2984","ahora",0,0,0,0
"2985","compr",0,0,0,0
"2986","40",0,0,0,0
"2987","para",0,0,0,0
"2988","que",0,0,0,0
"2989","me",0,0,0,0
"2990","quedaran",0,0,0,0
"2991","m",0,0,0,0
"2992","s",0,0,0,0
"2993","sueltos",0,0,0,0
"2994","y",0,0,0,0
"2995","fue",0,0,0,0
"2996","buena",0,0,1,0
"2997","idea",0,0,0,0
"2998","teniendo",0,0,0,0
"2999","en",0,0,0,0
"3000","consideraci",0,0,0,0
"3001","n",0,0,0,0
"3002","que",0,0,0,0
"3003","tengo",0,0,0,0
"3004","piernas",0,0,0,0
"3005","m",0,0,0,0
"3006","s",0,0,0,0
"3007","rellenitas",0,0,0,0
"3008","tal",0,0,0,0
"3009","vez",0,0,0,0
"3010","si",0,0,0,0
"3011","quieren",0,0,0,0
"3012","m",0,0,0,0
"3013","s",0,0,0,0
"3014","sueltos",0,0,0,0
"3015","deben",0,0,0,0
"3016","comprar",0,0,0,0
"3017","una",0,0,0,0
"3018","talla",0,0,0,0
"3019","m",0,0,0,0
"3020","s",0,0,0,0
"3021","estilo",0,1,0,0
"3022","mom",0,0,0,0
"3023","pero",0,0,0,0
"3024","creo",0,0,0,0
"3025","que",0,0,0,0
"3026","son",0,0,0,0
"3027","muy",1,0,0,0
"3028","amplios",0,0,0,0
"3029","de",0,0,0,0
"3030","cintura",0,0,0,0
"3031","entonces",0,0,0,0
"3032","podr",0,0,0,0
"3033","an",0,0,0,0
"3034","quedar",0,0,0,0
"3035","sueltos",0,0,0,0
"3036","u",0,0,0,0
"3037","2714",0,0,0,0
"3038","s",0,0,0,0
"3039","recomiendo",0,0,1,0
"3040","este",0,0,0,0
"3041","producto",0,0,0,0
"3042","buenisimos",0,0,1,0
"3043","lo",0,0,0,0
"3044","recomiendo",0,0,1,0
"3045","a",0,0,0,0
"3046","todo",0,0,0,0
"3047","el",0,0,0,0
"3048","mundo",0,0,0,0
"3049","excelente",0,1,1,0
"3050","soporte",0,0,0,0
"3051","u",0,0,0,0
"3052","2714",0,0,0,0
"3053","s",0,0,0,0
"3054","recomiendo",0,0,1,0
"3055","este",0,0,0,0
"3056","producto",0,0,0,0
"3057","publicada",0,0,0,0
"3058","originalmente",0,0,0,0
"3059","en",0,0,0,0
"3060","adidas.com",0,0,0,0
"3061","muy",1,0,0,0
"3062","c",0,0,0,0
"3063","modo",0,0,0,0
"3064","firme",0,2,0,0
"3065","ideal",0,0,1,0
"3066","para",0,0,0,0
"3067","los",0,0,0,0
"3068","que",0,0,0,0
"3069","sufrimos",0,0,0,1
"3070","problemas",0,0,0,1
"3071","de",0,0,0,0
"3072","espalda",0,0,0,0
"3073","ojo",0,0,0,0
"3074","con",0,0,0,0
"3075","la",0,0,0,0
"3076","altura",0,0,0,0
"3077","del",0,0,0,0
"3078","fuelle",0,0,0,0
"3079","a",0,0,0,0
"3080","quien",0,0,0,0
"3081","lo",0,0,0,0
"3082","compre",0,0,0,0
"3083","u",0,0,0,0
"3084","2714",0,0,0,0
"3085","s",0,0,0,0
"3086","recomiendo",0,0,1,0
"3087","este",0,0,0,0
"3088","producto",0,0,0,0
"3089","buen",0,0,1,0
"3090","colch",0,0,0,0
"3091","n",0,0,0,0
"3092","c",0,0,0,0
"3093","modo",0,0,0,0
"3094","para",0,0,0,0
"3095","las",0,0,0,0
"3096","personas",0,0,0,0
"3097","que",0,0,0,0
"3098","tienen",0,0,0,0
"3099","problemas",0,0,0,1
"3100","f",0,0,0,0
"3101","sicos",0,0,0,0
"3102","ayuda",0,2,1,0
"3103","a",0,0,0,0
"3104","dormir",0,0,0,0
"3105","relajados",0,0,0,0
"3106","y",0,0,0,0
"3107","las",0,0,0,0
"3108","almohadas",0,0,0,0
"3109","son",0,0,0,0
"3110","super",0,0,1,0
"3111","c",0,0,0,0
"3112","modas",0,0,0,0
"3113","y",0,0,0,0
"3114","blandas",0,0,0,0
"3115","respecto",0,0,0,0
"3116","del",0,0,0,0
"3117","pedido",0,0,0,0
"3118","todo",0,0,0,0
"3119","perfecto",0,1,1,0
"3120","podr",0,0,0,0
"3121","opinar",0,0,0,0
"3122","del",0,0,0,0
"3123","colch",0,0,0,0
"3124","n",0,0,0,0
"3125","luego",0,0,0,0
"3126","de",0,0,0,0
"3127","usarlo",0,0,0,0
"3128","un",0,0,0,0
"3129","tiempo",0,0,0,0
"3130","en",0,0,0,0
"3131","todo",0,0,0,0
"3132","caso",1,0,0,0
"3133","se",0,0,0,0
"3134","ve",0,0,0,0
"3135","muy",1,0,0,0
"3136","bien",0,0,1,0
"3137","es",0,0,0,0
"3138","firme",0,2,1,0
"3139","y",0,0,0,0
"3140","bien",0,0,0,0
"3141","terminado",0,0,0,0
"3142","u",0,0,0,0
"3143","2714",0,0,0,0
"3144","s",0,0,0,0
"3145","recomiendo",0,0,1,0
"3146","este",0,0,0,0
"3147","producto",0,0,0,0
"3148","excelente",0,1,1,0
"3149","parlante",0,0,0,0
"3150","la",0,0,0,0
"3151","versi",0,0,0,0
"3152","n",0,0,0,0
"3153","special",0,0,0,0
"3154","edition",0,0,0,0
"3155","viene",0,0,0,0
"3156","sin",0,0,0,0
"3157","base",0,0,0,0
"3158","para",0,0,0,0
"3159","cargar",0,0,0,0
"3160","pero",0,0,0,0
"3161","trae",0,0,0,0
"3162","conector",0,0,0,0
"3163","para",0,0,0,0
"3164","carga",1,0,0,0
"3165","usb",0,0,0,0
"3166","c",0,0,0,0
"3167","lo",0,0,0,0
"3168","cual",0,0,0,0
"3169","prefiero",0,0,1,0
"3170","adem",0,0,0,0
"3171","s",0,0,0,0
"3172","que",0,0,0,0
"3173","es",0,0,0,0
"3174","color",0,0,0,0
"3175","negro",3,0,0,0
"3176","y",0,0,0,0
"3177","se",0,0,0,0
"3178","ve",0,0,0,0
"3179","muy",1,0,0,0
"3180","bien",0,0,1,0
"3181","el",0,0,0,0
"3182","sonido",0,0,0,0
"3183","es",0,0,0,0
"3184","muy",1,0,0,0
"3185","limpio",0,1,1,0
"3186","y",0,0,0,0
"3187","se",0,0,0,0
"3188","sienten",0,0,0,0
"3189","muy",1,0,0,0
"3190","bien",0,0,1,0
"3191","los",0,0,0,0
"3192","bajos",0,0,0,0
"3193","a",0,0,0,0
"3194","pesar",0,0,0,0
"3195","del",0,0,0,0
"3196","peque",0,0,0,0
"3197","o",0,0,0,0
"3198","tama",0,0,0,0
"3199","o",0,0,0,0
"3200","al",0,0,0,0
"3201","subir",0,0,0,0
"3202","el",0,0,0,0
"3203","volumen",1,0,0,0
"3204","al",0,0,0,0
"3205","m",0,0,0,0
"3206","ximo",0,0,0,0
"3207","se",0,0,0,0
"3208","pierden",0,0,0,1
"3209","las",0,0,0,0
"3210","frecuencias",0,0,0,0
"3211","bajas",0,0,0,0
"3212","y",0,0,0,0
"3213","no",0,0,0,0
"3214","tiene",0,0,0,0
"3215","mucho",0,0,0,0
"3216","volumen",1,0,0,0
"3217","por",0,0,0,0
"3218","lo",0,0,0,0
"3219","que",0,0,0,0
"3220","lo",0,0,0,0
"3221","recomiendo",0,0,1,0
"3222","para",0,0,0,0
"3223","una",0,0,0,0
"3224","habitaci",0,0,0,0
"3225","n",0,0,0,0
"3226","peque",0,0,0,0
"3227","a",0,0,0,0
"3228","o",0,0,0,0
"3229","espacio",0,0,0,0
"3230","interior",0,1,0,0
"3231","para",0,0,0,0
"3232","disfrutar",0,1,1,0
"3233","de",0,0,0,0
"3234","una",0,0,0,0
"3235","excelente",0,1,1,0
"3236","calidad",0,0,0,0
"3237","de",0,0,0,0
"3238","audio",0,0,0,0
"3239","pero",0,0,0,0
"3240","nunca",0,0,0,0
"3241","como",0,0,0,0
"3242","para",0,0,0,0
"3243","fiesta",0,4,0,0
"3244","o",0,0,0,0
"3245","similar",0,0,0,0
"3246","o",0,0,0,0
"3247","al",0,0,0,0
"3248","aire",0,0,0,0
"3249","libre",0,0,0,0
"3250","por",0,0,0,0
"3251","menor",1,1,0,0
"3252","precio",0,0,0,0
"3253","hay",0,0,0,0
"3254","opciones",0,0,0,0
"3255","con",0,0,0,0
"3256","mas",0,0,0,0
"3257","volumen",1,0,0,0
"3258","u",0,0,0,0
"3259","2714",0,0,0,0
"3260","s",0,0,0,0
"3261","recomiendo",0,0,1,0
"3262","este",0,0,0,0
"3263","producto",0,0,0,0
"3264","es",0,0,0,0
"3265","un",0,0,0,0
"3266","excelente",0,1,1,0
"3267","producto",0,0,0,0
"3268","y",0,0,0,0
"3269","deja",0,0,0,0
"3270","las",0,0,0,0
"3271","papas",0,0,0,0
"3272","deliciosas",0,0,1,0
"3273","por",0,0,0,0
"3274","muy",1,0,0,0
"3275","buen",0,0,1,0
"3276","precio",0,0,0,0
"3277","u",0,0,0,0
"3278","2714",0,0,0,0
"3279","s",0,0,0,0
"3280","recomiendo",0,0,1,0
"3281","este",0,0,0,0
"3282","producto",0,0,0,0
"3283","publicada",0,0,0,0
"3284","originalmente",0,0,0,0
"3285","en",0,0,0,0
"3286","falabella.com.co",0,0,0,0
"3287","compre",0,0,0,0
"3288","hace",0,0,0,0
"3289","dos",0,0,0,0
"3290","semanas",0,0,0,0
"3291","uno",0,0,0,0
"3292","de",0,0,0,0
"3293","estos",0,0,0,0
"3294","en",0,0,0,0
"3295","color",0,0,0,0
"3296","negro",3,0,0,0
"3297","en",0,0,0,0
"3298","el",0,0,0,0
"3299","falabella",0,0,0,0
"3300","del",0,0,0,0
"3301","parque",0,0,0,0
"3302","arauco",0,0,0,0
"3303","al",0,0,0,0
"3304","primer",0,0,0,0
"3305","uso",0,0,0,0
"3306","se",0,0,0,0
"3307","rompieron",0,0,0,1
"3308","arriba",0,0,0,0
"3309","y",0,0,0,0
"3310","al",0,0,0,0
"3311","segundo",0,0,0,0
"3312","uso",0,0,0,0
"3313","se",0,0,0,0
"3314","partieron",0,0,0,1
"3315","por",0,0,0,0
"3316","la",0,0,0,0
"3317","mitad",0,0,0,0
"3318","lo",0,0,0,0
"3319","bueno",0,3,1,0
"3320","es",0,0,0,0
"3321","que",0,0,0,0
"3322","me",0,0,0,0
"3323","permitieron",0,0,1,0
"3324","cambiarlos",0,0,1,0
"3325","por",0,0,0,0
"3326","otros",0,0,0,0
"3327","pero",0,0,0,0
"3328","al",0,0,0,0
"3329","menos",0,0,0,0
"3330","en",0,0,0,0
"3331","ese",0,0,0,0
"3332","falabella",0,0,0,0
"3333","todos",0,0,0,0
"3334","los",0,0,0,0
"3335","jeans",0,0,0,0
"3336","de",0,0,0,0
"3337","ese",0,0,0,0
"3338","modelo",0,1,0,0
"3339","vienen",0,0,0,0
"3340","con",0,0,0,0
"3341","la",0,0,0,0
"3342","tela",0,0,0,0
"3343","mala",0,0,0,1
"3344","aunque",0,0,0,0
"3345","hace",0,0,0,0
"3346","dos",0,0,0,0
"3347","a",0,0,0,0
"3348","os",0,0,0,0
"3349","tengo",0,0,0,0
"3350","unos",0,0,0,0
"3351","de",0,0,0,0
"3352","los",0,0,0,0
"3353","celestes",0,0,0,0
"3354","y",0,0,0,0
"3355","han",0,0,0,0
"3356","sido",0,0,0,0
"3357","muy",1,0,0,0
"3358","buenos",0,0,1,0
"3359","muy",1,0,0,0
"3360","buen",0,0,1,0
"3361","calce",0,0,0,0
"3362","generalmente",0,0,0,0
"3363","soy",0,0,0,0
"3364","36",0,0,0,0
"3365","38",0,0,0,0
"3366","y",0,0,0,0
"3367","ahora",0,0,0,0
"3368","el",0,0,0,0
"3369","36",0,0,0,0
"3370","me",0,0,1,0
"3371","qued",0,0,0,0
"3372","perfecto",0,1,0,0
"3373","u",0,0,0,0
"3374","2714",0,0,0,0
"3375","s",0,0,0,0
"3376","recomiendo",0,0,1,0
"3377","este",0,0,0,0
"3378","producto",0,0,0,0
"3379","la",0,0,0,0
"3380","encargamos",0,0,0,0
"3381","el",0,0,0,0
"3382","21",0,0,0,0
"3383","de",0,0,0,0
"3384","febrero",0,0,0,0
"3385","y",0,0,0,0
"3386","llego",0,0,0,0
"3387","con",0,0,0,0
"3388","un",0,0,0,0
"3389","retraso",4,0,0,1
"3390","de",0,0,0,0
"3391","1",0,0,0,0
"3392","dia",0,0,0,0
"3393","super",0,0,1,0
"3394","cumplidores",0,0,1,0
"3395","llego",0,0,0,0
"3396","en",0,0,0,0
"3397","la",0,0,0,0
"3398","encargu",0,0,0,0
"3399","el",0,0,0,0
"3400","21",0,0,0,0
"3401","de",0,0,0,0
"3402","febrero",0,0,0,0
"3403","y",0,0,0,0
"3404","ten",0,0,0,0
"3405","a",0,0,0,0
"3406","fecha",0,0,0,0
"3407","de",0,0,0,0
"3408","llegada",0,0,0,0
"3409","para",0,0,0,0
"3410","el",0,0,0,0
"3411","8",0,0,0,0
"3412","de",0,0,0,0
"3413","marzo",0,0,0,0
"3414","y",0,0,0,0
"3415","llego",0,0,0,0
"3416","el",0,0,0,0
"3417","9",0,0,0,0
"3418","de",0,0,0,0
"3419","marzo",0,0,0,0
"3420","lleg",0,0,0,0
"3421","en",0,0,0,0
"3422","optimas",0,0,1,0
"3423","condiciones",0,0,0,0
"3424","con",0,0,0,0
"3425","todas",0,0,0,0
"3426","sus",0,0,0,0
"3427","partes",0,0,0,0
"3428","no",0,0,0,0
"3429","es",0,0,0,0
"3430","dificil",0,0,0,1
"3431","de",0,0,0,0
"3432","armar",0,0,0,0
"3433","igual",0,0,0,0
"3434","la",0,0,0,0
"3435","encargue",0,0,0,0
"3436","con",0,0,0,0
"3437","dudas",0,0,0,0
"3438","por",0,0,0,0
"3439","los",0,0,0,0
"3440","comentarios",0,0,0,0
"3441","q",0,0,0,0
"3442","lei",0,0,0,0
"3443","antes",0,0,0,0
"3444","de",0,0,0,0
"3445","comprarla",0,0,0,0
"3446","pero",0,0,0,0
"3447","me",0,0,0,0
"3448","deje",0,0,0,0
"3449","llevar",0,0,0,0
"3450","por",0,0,0,0
"3451","los",0,0,0,0
"3452","positivos",0,0,0,0
"3453","y",0,0,0,0
"3454","ten",0,0,0,0
"3455","an",0,0,0,0
"3456","razon",0,0,0,0
"3457","es",0,0,0,0
"3458","una",0,0,0,0
"3459","cama",0,0,0,0
"3460","de",0,0,0,0
"3461","excelente",0,1,1,0
"3462","calidad",0,0,0,0
"3463","y",0,0,0,0
"3464","ningun",0,0,0,0
"3465","problema",1,0,0,1
"3466","quede",0,0,0,0
"3467","muy",1,0,0,0
"3468","conforme",0,0,1,0
"3469","u",0,0,0,0
"3470","2714",0,0,0,0
"3471","s",0,0,0,0
"3472","recomiendo",0,0,1,0
"3473","este",0,0,0,0
"3474","producto",0,0,0,0
"3475","buen",0,0,1,0
"3476","horno",0,0,0,0
"3477","pero",0,0,0,0
"3478","lamentablemente",0,0,0,1
"3479","me",0,0,0,0
"3480","dur",0,0,0,0
"3481","4",0,0,0,0
"3482","meses",0,0,0,0
"3483","su",0,0,0,0
"3484","buen",0,0,1,0
"3485","uso",0,0,0,0
"3486","las",0,0,0,0
"3487","barras",0,0,0,0
"3488","inferiores",0,0,0,0
"3489","no",0,0,0,0
"3490","calentaron",0,0,0,0
"3491","mas",0,0,0,0
"3492","una",0,0,0,0
"3493","lastima",0,0,0,1
"3494","ya",0,0,0,0
"3495","que",0,0,0,0
"3496","no",0,0,0,0
"3497","es",0,0,0,0
"3498","un",0,0,0,0
"3499","horno",0,0,0,0
"3500","muy",1,0,0,0
"3501","barato",1,1,1,0
"3502","soy",0,0,0,0
"3503","talla",0,0,0,0
"3504","38",0,0,0,0
"3505","40",0,0,0,0
"3506","y",0,0,0,0
"3507","compr",0,0,0,0
"3508","el",0,0,0,0
"3509","azul",0,0,0,0
"3510","en",0,0,0,0
"3511","talla",0,0,0,0
"3512","38",0,0,0,0
"3513","y",0,0,0,0
"3514","me",0,0,0,0
"3515","qued",0,0,0,0
"3516","super",0,0,1,0
"3517","tienen",0,0,0,0
"3518","muy",1,0,0,0
"3519","buen",0,0,1,0
"3520","calce",0,0,0,0
"3521","y",0,0,0,0
"3522","son",0,0,0,0
"3523","el",0,0,0,0
"3524","sticados",0,0,0,0
"3525","si",0,0,0,0
"3526","hubiese",0,0,0,0
"3527","comprado",0,0,0,0
"3528","la",0,0,0,0
"3529","talla",0,0,0,0
"3530","40",0,0,0,0
"3531","me",0,0,0,0
"3532","hubiese",0,0,0,0
"3533","quedado",0,0,0,0
"3534","m",0,0,0,0
"3535","s",0,0,0,0
